2.620492404520627111e+06,8.275150969895840622e+06,7.848922034715075046e+06,8.575577122901963070e+06,7.905018959754473530e+06,8.412046187584279105e+06,8.510033047785332426e+06,7.860742168295065872e+06,7.374260024268671870e+06,7.843271899753388949e+06
9.736297569816555828e+06,3.950651553893942386e+06,8.924751491011142731e+06,9.438091101392405108e+06,8.640615789000090212e+06,9.356250031997032464e+06,8.835854430026208982e+06,9.045378459853097796e+06,9.120022967125194147e+06,8.825613388381924480e+06
7.637122702733395621e+06,7.375794635738249868e+06,2.447679140666821506e+06,7.157796449416556396e+06,6.255681602166898549e+06,6.906357587102716789e+06,6.554676674132135697e+06,6.742716003785459325e+06,7.377227218368681148e+06,7.357536631588213146e+06
9.083737380690483376e+06,8.529252922221478075e+06,7.757713186267824844e+06,3.116447736171781551e+06,7.390814264254206792e+06,7.885559067723152228e+06,7.573520806972336024e+06,7.874656618396499194e+06,8.734645356412785128e+06,8.580914123236957937e+06
7.468350652775853872e+06,6.821473565209167078e+06,5.988667752485346049e+06,6.540594305974502116e+06,2.180390019436109811e+06,6.262685724030553363e+06,5.786931959536910988e+06,6.138086434824145399e+06,7.176302331625472754e+06,7.040124353777623735e+06
9.061145606898678467e+06,8.542290331055851653e+06,7.723283775896447711e+06,7.992661456758000888e+06,7.373927064587221481e+06,3.231109881879431196e+06,7.543153578740244731e+06,7.826730158795862459e+06,8.777629884188283235e+06,8.622108696813125163e+06
8.395226674596209079e+06,7.346825719730234705e+06,6.711575624536232091e+06,7.144390391733938828e+06,6.218116386761205271e+06,6.907935639482334256e+06,2.630241755287663545e+06,6.836478127511807717e+06,7.939954345472260378e+06,7.645270077524007298e+06
8.805190055174116045e+06,8.484039567154157907e+06,7.799312203684397042e+06,8.279657284180032089e+06,7.440450642589035444e+06,8.089675003736248240e+06,7.793743236686495133e+06,3.441078817273708526e+06,8.604351216948503628e+06,8.366956726432881318e+06
7.221876586648218334e+06,7.497152113535424694e+06,7.322500456743263640e+06,8.021913804594311863e+06,7.357519832648909651e+06,7.896821058945012279e+06,7.804028654137860984e+06,7.461103772697963752e+06,2.440628310626199935e+06,7.051114071030126885e+06
9.322748869902661070e+06,8.913986813435701653e+06,8.897393712262583897e+06,9.518539463582329452e+06,8.845877390665160492e+06,9.552537769396100193e+06,9.113921161190817133e+06,8.962386619609240443e+06,8.718738595318470150e+06,4.021088620975605212e+06
